0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000014,0.000077,0.000303,0.000838,0.001353,0.000838,0.000303,0.000074,0.000000
0.000000,0.000077,0.000405,0.001601,0.004416,0.007126,0.004416,0.001600,0.000393,0.000000
0.000000,0.000303,0.001601,0.006329,0.017437,0.028120,0.017437,0.006323,0.001554,0.000000
0.000000,0.000838,0.004416,0.017437,0.048001,0.077360,0.047999,0.017420,0.004285,0.000000
0.000000,0.001353,0.007126,0.028120,0.077360,0.124624,0.077357,0.028092,0.006914,0.000000
0.000000,0.000838,0.004416,0.017437,0.047999,0.077357,0.047997,0.017420,0.004284,0.000000
0.000000,0.000303,0.001600,0.006323,0.017420,0.028092,0.017420,0.006317,0.001552,0.000000
0.000000,0.000074,0.000393,0.001554,0.004285,0.006914,0.004284,0.001552,0.000381,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
